application_id,Interview Taken on,Status,event_name,Department,Post Name,Offered Salary
383422,2014-05-01 11:40:00,Hired,Male,Service Department,c8,56553
907518,2014-05-06 08:08:00,Hired,Female,Service Department,c5,22075
176719,2014-05-06 08:08:00,Rejected,Male,Service Department,c5,70069
253651,2014-05-02 16:32:00,Hired,Male,Operations Department,i4,29668
959124,2014-05-06 16:27:00,Rejected,Male,Sales Department,i7,69904
434547,2014-05-02 13:11:00,Rejected,Female,Service Department,i4,49515
518854,2014-05-01 09:00:00,Rejected,Male,Service Department,n10,26990
199526,2014-05-07 10:50:00,Hired,Male,Service Department,b9,86787
191009,2014-05-09 12:48:00,Hired,Female,Service Department,i7,56688
513166,2014-05-01 22:53:00,Hired,Female,Operations Department,i1,73579
791372,2014-05-01 22:54:00,Rejected,Male,Operations Department,i1,50351
47857,2014-05-01 22:55:00,Rejected,Female,Operations Department,i1,38462
834101,2014-05-01 22:53:00,Rejected,Don? want to say,Operations Department,i1,82510
985008,2014-05-01 09:41:00,Rejected,Male,Service Department,i6,52554
935899,2014-05-10 14:17:00,Rejected,Male,Service Department,i1,88744
780839,2014-05-10 14:18:00,Hired,Female,Service Department,i1,70979
851764,2014-05-01 16:01:00,Rejected,Male,Operations Department,i6,99574
202821,2014-05-01 16:01:00,Hired,Male,Operations Department,i6,52176
969924,2014-05-01 11:47:00,Rejected,Male,Finance Department,i1,61432
765579,2014-05-01 09:26:00,Rejected,Male,Sales Department,i4,87884
924976,2014-05-01 09:26:00,Rejected,Male,Sales Department,i4,56229
896164,2014-05-01 17:21:00,Hired,Don? want to say,Production Department,i7,37947
600625,2014-05-02 18:21:00,Rejected,Male,Service Department,c5,88057
692533,2014-05-02 18:23:00,Hired,Male,Service Department,c5,72843
894276,2014-05-02 11:47:00,Rejected,Male,Operations Department,i4,84513
121909,2014-05-02 12:21:00,Rejected,Male,Operations Department,i4,23129
176467,2014-05-02 12:21:00,Rejected,Male,Operations Department,i4,73304
955372,2014-05-02 09:16:00,Rejected,Female,Sales Department,b9,85176
958058,2014-05-02 13:04:00,Rejected,Male,Service Department,b9,31854
577498,2014-05-04 09:41:00,Rejected,Male,Service Department,m7,41402
959638,2014-05-04 09:44:00,Rejected,Male,Service Department,i7,48028
442311,2014-05-04 17:32:00,Rejected,Male,Service Department,i5,22832
290946,2014-05-05 19:35:00,Rejected,Male,Purchase Department,i7,89786
37073,2014-05-05 19:37:00,Hired,Female,Purchase Department,i7,51645
622677,2014-05-05 15:41:00,Rejected,Male,Finance Department,c5,60294
580633,2014-05-05 15:42:00,Rejected,Male,Finance Department,c5,53465
116456,2014-05-05 15:44:00,Hired,Female,Finance Department,c5,52285
39036,2014-05-05 11:41:00,Rejected,Male,Operations Department,i4,98622
349039,2014-05-06 16:05:00,Rejected,Male,Operations Department,c5,68666
94068,2014-05-10 17:34:00,Hired,Male,Operations Department,i4,67434
235574,2014-05-06 21:40:00,Rejected,Male,Service Department,m6,68466
180166,2014-05-06 04:03:00,Rejected,Male,Operations Department,b9,27418
563405,2014-05-06 13:28:00,Rejected,Female,Finance Department,c5,40831
810490,2014-05-06 13:30:00,Rejected,Female,Finance Department,c5,85140
964704,2014-05-29 14:44:00,Hired,Female,Finance Department,c5,39485
565183,2014-05-06 08:40:00,Rejected,Male,Marketing Department,b9,84675
288171,2014-05-06 15:37:00,Hired,Female,Marketing Department,i4,33631
499643,2014-05-06 09:26:00,Rejected,Female,Service Department,i4,45288
610176,2014-05-07 14:06:00,Rejected,Male,Service Department,i4,46980
346219,2014-05-22 10:21:00,Rejected,Female,Operations Department,i5,25621
357945,2014-05-07 02:13:00,Rejected,Male,Service Department,i7,25239
188820,2014-05-07 17:58:00,Rejected,Male,Sales Department,i4,94869
193244,2014-05-07 10:53:00,Rejected,Male,Operations Department,i6,77157
781620,2014-05-07 15:34:00,Rejected,Male,Production Department,i4,62894
